sep=,
Date,Time,Item,SKU,Quantity,Unit price,Total discount,Unit cost price,Gross profit,Total (incl tax),Status
2025/02/12,13:54:56,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/12,13:46:47,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/12,12:03:36,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/12,11:49:57,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/12,11:34:04,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/12,11:34:04,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/12,11:34:04,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/12,10:29:56,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/12,10:29:56,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/12,10:25:03,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/12,10:19:19,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/12,10:17:44,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/12,10:17:44,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/12,10:10:53,Magic Johnson,MM-MAG,2,30.00,0.00,,,60.00,Approved
2025/02/12,09:42:46,Syrup,MM-SYR,1,7.00,0.00,,,7.00,Approved
2025/02/12,09:42:46,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/12,09:42:46,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/12,09:41:12,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/12,09:31:41,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/12,09:25:39,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/12,09:25:39,Barry White,MM-BAW,1,35.00,0.00,,,35.00,Approved
2025/02/12,09:11:09,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/12,09:09:35,Magic Johnson,MM-MAG,2,30.00,0.00,,,60.00,Approved
2025/02/12,08:47:38,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/12,07:57:25,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
